trimmed-A0397	trimmed-A0412	trimmed-A0481	trimmed-A0567	trimmed-A0645	trimmed-A1177-161222	trimmed-A1177-21522	trimmed-A1218	trimmed-A1297	trimmed-A1847	trimmed-A2527	trimmed-A2577	trimmed-A2584	trimmed-A2591	trimmed-A2592	trimmed-A2593	trimmed-A2594-25422	trimmed-A2594-5622	trimmed-A2598	trimmed-A2599	trimmed-A2658	trimmed-A2689	trimmed-A2738	trimmed-A2745	trimmed-A2747	trimmed-A2750	trimmed-A2760	trimmed-A2765	trimmed-A2769	trimmed-A2774	trimmed-A2775-221122	trimmed-A2775-6622	trimmed-A2794	trimmed-A2804	trimmed-A2842	trimmed-A2849	trimmed-A2854	trimmed-A2855	trimmed-A2907	trimmed-A3051	trimmed-A3070	trimmed-A3085	trimmed-A3100	trimmed-A3107	trimmed-A3121	trimmed-A3137	trimmed-A3151	trimmed-A3198	trimmed-A3210	trimmed-AB0478	trimmed-AB0495	trimmed-AB1178	trimmed-AB1179	trimmed-AB1201	trimmed-AB1202	trimmed-AB1224	trimmed-AB1288	trimmed-AB1289	trimmed-AB1290	trimmed-AB1345	trimmed-B0580	trimmed-C0430	trimmed-EX-CTRL	trimmed-INS-CTRL	trimmed-PCR-CTRL	trimmed-PLN-CTRL	trimmed-Z0438	trimmed-Z1683	trimmed-Z2304	trimmed-Z2335	trimmed-Z2388	trimmed-Z2460	trimmed-Z2512	trimmed-Z2532	trimmed-Z2647	trimmed-Z2662	trimmed-Z2702	trimmed-Z2706	trimmed-Z2744-17123	trimmed-Z2744-31222	trimmed-Z2766	trimmed-Z2772	trimmed-Z3601	trimmed-Z3606	trimmed-Z3612	trimmed-Z3613	trimmed-Z3632	trimmed-Z3636	trimmed-Z3683	trimmed-Z3697	trimmed-Z3699	trimmed-Z3704	trimmed-Z3705-14123	trimmed-Z3705-14123-1	trimmed-Z3745
ASV_21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	861	0	0	0	0	0	0	13414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_22	0	0	0	0	0	0	0	0	0	1135	50931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1094	0	0	0	0	0	3247	0	0	0	16801	3588	5358	0
ASV_23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8059	0	0	0	0	0	0	0	0	0	0	0	0	1365	0	0	59692	0	2430	2399	0	0	1079	0	0	0	0	1398	0
ASV_24	34057	0	0	0	0	0	2158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4490	0	0	0	0	0	0	0
ASV_26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1061	23949	1118	23808	4145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5823	0	0	0	0	0
ASV_29	0	0	0	0	0	0	0	1456	0	0	0	0	0	9268	0	0	0	0	3002	5685	0	0	0	0	0	0	42677	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11686	0	0	0	47170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_32	0	0	0	0	53573	0	0	0	0	0	0	0	0	0	0	0	0	2277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_33	0	0	0	0	0	3354	0	0	5214	0	0	0	0	0	0	0	0	0	517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	418	0	0	0	0	16483	21215	0	0	0	1187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3712	0	0	0	0	0	0	0	0	0	0	0	0	0	940	0	0	0	0
ASV_34	0	0	41403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9272	0	0	0	0	0	0
ASV_35	0	0	0	0	0	0	0	0	0	0	0	3922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45798
ASV_36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19169	28836	0
ASV_37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7597	0	0	0	0	0	38396	0	0	0	0	0	1475	0
ASV_38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45040	0	0	0	731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1627	43488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6040	0	0	0	0	0	0	0	0	0	0	0	0	4187	0	0	0	0	0	0	0	0
ASV_41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_42	4173	0	0	0	0	8618	1586	623	0	0	0	0	0	0	0	846	3204	0	0	718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1041	0	756	0	0	0	0	0	589	0	0	0	0	0	0	0	0	0	0	0	1961	0	0	0	390	0	0	0	6788	0	2746	0	1767	867	3414	0	355	1103	497	0	0	0	428	0	0	0	0	0	0	0	0
